episode_index,scene_id,target_color,instruction,num_steps,exception,ever_contact_success,ever_strict_lift_success,final_contact_success,final_strict_lift_success,ever_wrong_color_touch,target_lift_delta_final,first_contact_step,first_strict_lift_step,final_touching_colors
19,5,red,lift and hold the red cylinder,35,,True,True,True,True,False,0.012178424745798111,28,32,"[""red""]"
20,5,blue,pick up the cylinder that is blue,41,,True,True,True,True,True,0.012894362211227417,33,38,"[""blue""]"
21,6,green,grab the green cylinder,35,,True,True,True,True,False,0.012358841486275196,28,32,"[""green""]"
22,6,red,grasp and lift the red cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
23,6,yellow,lift the yellow cylinder without touching the others,40,,True,True,True,True,False,0.012427286244928837,33,37,"[""yellow""]"
24,6,blue,pick up the blue cylinder,39,,True,True,True,True,False,0.012990383431315422,31,36,"[""blue""]"
25,7,red,move to the red cylinder and lift it,38,,True,True,True,True,False,0.013134629931300879,32,35,"[""red""]"
26,7,green,grab and lift the green cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
27,7,blue,grab the blue cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
28,7,yellow,take hold of the yellow cylinder,43,,True,True,True,True,False,0.01243958342820406,36,40,"[""yellow""]"
29,8,green,pick up only the green cylinder,37,,True,True,True,True,False,0.014013140462338924,29,34,"[""green""]"
30,8,yellow,lift the yellow cylinder,36,,True,True,True,True,False,0.013128853403031826,29,33,"[""yellow""]"
31,8,blue,lift the blue cylinder without touching the others,43,,True,True,True,True,False,0.011809800751507282,36,40,"[""blue""]"
32,8,red,pick up the cylinder that is red,50,,False,False,False,False,True,0.00012050289660692215,,,"[""blue""]"
33,9,red,raise the red cylinder,38,,True,True,True,True,False,0.012618022970855236,30,35,"[""red""]"
34,9,green,pick up the cylinder that is green,36,,True,True,True,True,False,0.01235188264399767,29,33,"[""green""]"
35,9,blue,pick up only the blue cylinder,37,,True,True,True,True,False,0.013935444876551628,29,34,"[""blue""]"
36,9,yellow,pick up only the yellow cylinder,46,,True,True,True,True,True,0.012116949073970318,39,43,"[""yellow""]"
37,10,green,grab and lift the green cylinder,41,,True,True,True,True,True,0.01181482058018446,34,38,"[""green""]"
38,10,yellow,lift the yellow cylinder without touching the others,35,,True,True,True,True,False,0.01200832985341549,28,32,"[""yellow""]"
39,10,blue,grasp the blue cylinder,37,,True,True,True,True,False,0.016090909019112587,25,34,"[""blue""]"
40,10,red,lift the red cylinder without touching the others,40,,True,True,True,True,False,0.012628150172531605,33,37,"[""red""]"
41,11,green,pick up only the green cylinder,50,,False,False,False,False,False,-0.0004121139645576477,,,[]
42,11,red,take hold of the red cylinder,38,,True,True,True,True,False,0.012220008298754692,31,35,"[""red""]"
43,11,yellow,lift the yellow cylinder,40,,True,True,True,True,False,0.013607696630060673,32,37,"[""yellow""]"
44,11,blue,move to the blue cylinder and lift it,35,,True,True,True,True,False,0.012396491132676601,28,32,"[""blue""]"
45,12,blue,raise the blue cylinder,50,,False,False,False,False,False,0.010063274763524532,,,"[""blue""]"
46,12,green,pick up only the green cylinder,36,,True,True,True,True,False,0.012297793291509151,29,33,"[""green""]"
47,12,red,pick up the cylinder that is red,37,,True,True,True,True,False,0.020730084739625454,28,34,"[""red""]"
48,12,yellow,grasp and lift the yellow cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
49,13,green,grasp and lift the green cylinder,36,,True,True,True,True,False,0.012423835694789886,29,33,"[""green""]"
50,13,blue,pick up the blue cylinder,46,,True,True,True,True,False,0.013076228089630604,39,43,"[""blue""]"
51,13,yellow,pick up and hold the yellow cylinder,50,,True,True,True,True,False,0.010017399676144123,45,49,"[""yellow""]"
52,13,red,move to the red cylinder and lift it,41,,True,True,True,True,False,0.014049260877072811,33,38,"[""red""]"
53,14,green,lift the green cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
54,14,yellow,pick up the cylinder that is yellow,38,,True,True,True,True,False,0.01213341485708952,31,35,"[""yellow""]"
55,14,blue,grab and lift the blue cylinder,41,,True,True,True,True,True,0.01293130312114954,33,38,"[""blue""]"
56,14,red,pick up and hold the red cylinder,37,,True,True,True,True,False,0.012673596851527691,29,34,"[""red""]"
57,15,blue,lift and hold the blue cylinder,36,,True,True,True,True,False,0.011802292428910732,29,33,"[""blue""]"
58,15,yellow,pick up the yellow cylinder,38,,True,True,True,True,False,0.012683303095400333,30,35,"[""yellow""]"
59,15,red,grasp the red cylinder,39,,True,True,True,True,False,0.012325546704232693,32,36,"[""red""]"
60,15,green,pick up the cylinder that is green,40,,True,True,True,True,False,0.012237082235515118,33,37,"[""green""]"
61,16,blue,take hold of the blue cylinder,42,,True,True,True,True,False,0.01224574912339449,35,39,"[""blue""]"
62,16,yellow,take hold of the yellow cylinder,33,,True,True,True,True,False,0.012412715703248978,26,30,"[""yellow""]"
63,16,green,lift the green cylinder,37,,True,True,True,True,False,0.013385565020143986,30,34,"[""green""]"
64,16,red,take hold of the red cylinder,35,,True,True,True,True,False,0.012027885764837265,28,32,"[""red""]"
65,17,red,lift the red cylinder without touching the others,50,,False,False,False,False,True,0.0003535682335495949,,,"[""green""]"
66,17,blue,lift and hold the blue cylinder,39,,True,True,True,True,False,0.012265554629266262,32,36,"[""blue""]"
67,17,yellow,pick up the cylinder that is yellow,37,,True,True,True,True,False,0.012646432034671307,29,34,"[""yellow""]"
68,17,green,grab and lift the green cylinder,41,,True,True,True,True,False,0.01362877432256937,34,38,"[""green""]"
69,18,red,move to the red cylinder and lift it,42,,True,True,True,True,False,0.012609829194843769,35,39,"[""red""]"
70,18,blue,grasp only the blue cylinder,34,,True,True,True,True,False,0.012568330392241478,26,31,"[""blue""]"
71,18,green,grasp only the green cylinder,38,,True,True,True,True,False,0.012572193518280983,30,35,"[""green""]"
72,18,yellow,pick up only the yellow cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
73,19,blue,raise the blue cylinder,50,,False,False,False,False,False,-4.289858043193817e-05,,,[]
74,19,green,lift and hold the green cylinder,50,,False,False,False,False,True,0.00012050289660692215,,,"[""blue""]"
75,19,red,grab and lift the red cylinder,39,,True,True,True,True,False,0.012323214672505856,32,36,"[""red""]"
76,19,yellow,lift the yellow cylinder,36,,True,True,True,True,False,0.012281456030905247,29,33,"[""yellow""]"
77,20,red,grasp only the red cylinder,50,,False,False,False,False,True,0.00012050289660692215,,,"[""blue""]"
78,20,green,lift and hold the green cylinder,39,,True,True,True,True,False,0.01223538164049387,32,36,"[""green""]"
79,20,blue,take hold of the blue cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
80,20,yellow,lift the yellow cylinder,39,,True,True,True,True,False,0.012844554148614407,31,36,"[""yellow""]"
81,21,blue,grab and lift the blue cylinder,38,,True,True,True,True,False,0.013521363027393818,31,35,"[""blue""]"
82,21,green,raise the green cylinder,38,,True,True,True,True,False,0.012352422811090946,31,35,"[""green""]"
83,21,yellow,move to the yellow cylinder and lift it,35,,True,True,True,True,False,0.012565781362354755,27,32,"[""yellow""]"
84,21,red,take hold of the red cylinder,35,,True,True,True,True,False,0.012309581972658634,28,32,"[""red""]"
85,22,yellow,lift and hold the yellow cylinder,39,,True,True,True,True,False,0.012235297821462154,32,36,"[""yellow""]"
86,22,green,pick up the cylinder that is green,41,,True,True,True,True,False,0.012266703881323338,34,38,"[""green""]"
87,22,red,pick up the red cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
88,22,blue,grasp and lift the blue cylinder,40,,True,True,True,True,True,0.012727461755275726,33,37,"[""blue""]"
89,23,green,pick up the cylinder that is green,37,,True,True,True,True,False,0.011963686905801296,29,34,"[""green""]"
90,23,yellow,grab the yellow cylinder,37,,True,True,True,True,False,0.012132293544709682,30,34,"[""yellow""]"
91,23,blue,lift the blue cylinder,36,,True,True,True,True,False,0.012210948392748833,28,33,"[""blue""]"
92,23,red,raise the red cylinder,37,,True,True,True,True,False,0.012302259914577007,30,34,"[""red""]"
93,24,yellow,raise the yellow cylinder,39,,True,True,True,True,False,0.012904183007776737,32,36,"[""yellow""]"
94,24,green,grasp the green cylinder,50,,True,False,True,False,False,0.0008271140977740288,49,,"[""green""]"
95,24,red,grab and lift the red cylinder,35,,True,True,True,True,False,0.012322469614446163,28,32,"[""red""]"
96,24,blue,take hold of the blue cylinder,50,,False,False,False,False,False,0.00012050289660692215,,,[]
97,25,yellow,raise the yellow cylinder,37,,True,True,True,True,False,0.012697291560471058,29,34,"[""yellow""]"
98,25,blue,take hold of the blue cylinder,35,,True,True,True,True,False,0.011951697058975697,28,32,"[""blue""]"
99,25,green,grasp the green cylinder,38,,True,True,True,True,False,0.01236545480787754,31,35,"[""green""]"
100,25,red,pick up only the red cylinder,34,,True,True,True,True,False,0.012337015010416508,27,31,"[""red""]"
